target,is_repaired,score,tags,used_function_names,used_statement_ids,operated_positions,created_statement_id,used_identifier_ids,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,repair_initialization_time,repair_rep_generation_time,repair_evalution_time,tag
test2/ARC002/1/WA/21460730.c,true,40,3 ,test2/ARC002/1/AC/30584125.c::main ,32946 ,[0 2 ],49851 ,[380 186 380 186 380 186 186 ],361,17198,4859,433,11893,10057,222,1614,2
test2/ARC002/1/WA/21460789.c,true,40,3 ,test2/ARC002/1/AC/47260.c::main ,6936 ,[0 2 ],49734 ,[380 380 380 186 186 ],286,17404,5006,468,11913,10105,246,1562,2
test2/ARC002/1/WA/21460851.c,true,40,3 3 ,test2/ARC002/1/AC/133997.c::main test2/ARC002/1/AC/69344.c::main ,22273 596 ,[0 1 ][0 2 ],50774 51867 ,[380 381 380 381 380 381 ][381 302 302 ],1085,20616,5048,448,15101,10060,486,4555,2
test2/ARC002/1/WA/21460910.c,true,40,3 ,test2/ARC002/1/AC/485316.c::main ,38569 ,[0 5 ],49683 ,[381 302 381 302 381 302 302 ],253,16919,5110,442,11346,6771,208,4367,2
test2/ARC002/1/WA/21460968.c,true,40,3 ,test2/ARC002/1/AC/40898.c::main ,23998 ,[0 5 ],49313 ,[381 302 381 302 381 302 302 ],146,13318,5221,439,7643,6727,204,712,2
test2/ARC002/1/WA/21460993.c,true,40,3 ,test2/ARC002/1/AC/1353614.c::main ,38908 ,[0 6 ],49179 ,[186 ],70,12746,4878,453,7402,6720,212,470,2
test2/ARC002/1/WA/21461011.c,true,40,3 ,test2/ARC002/1/AC/8576.c::main ,8128 ,[0 5 ],49089 ,[381 381 381 186 186 ],46,12533,4737,446,7337,6724,232,381,2
test2/ARC002/1/WA/21461042.c,true,40,3 1 3 ,test2/ARC002/1/AC/8283.c::main test2/ARC002/1/AC/7758.c::main test2/ARC002/1/AC/35840.c::main ,29014 25124 5585 ,[0 0 ][0 1 ][0 2 ],49559 52236 55361 ,[221 380 ][380 380 186 380 186 186 ][221 ],2433,33009,5126,398,27457,7806,1021,18630,2
test2/ARC002/1/WA/21461058.c,true,40,3 ,test2/ARC002/1/AC/7240.c::main ,10645 ,[0 1 ],49327 ,[380 186 380 380 186 186 186 ],126,14002,4887,365,8734,7816,266,652,2
test2/ARC002/1/WA/21866.c,true,40,3 ,test2/ARC002/1/AC/30584125.c::main ,32970 ,[0 1 ],49108 ,[380 186 380 186 380 186 186 ],43,13913,5148,363,8388,7789,254,345,2
test2/ARC002/1/WA/22146304.c,true,40,3 ,test2/ARC002/1/AC/171037.c::main ,14625 ,[0 1 ],49241 ,[380 380 380 186 186 186 186 ],75,13995,5090,383,8509,7788,254,467,2
